Title	Comment	Video
Material and Particles interaction	How to use a material for a particle emitter doing different effects	https://www.youtube.com/watch?v=YZ3TIqwqOWY
Blueprint Creating a 2D game 02	Adding taking damage from spikes, blinking and shooting a projectile	https://www.youtube.com/watch?v=5KkcbO3Tmbw
Using Material Effects	Displacement stuff to create fireball effects, fancy stuff 	https://www.youtube.com/watch?v=enx6ShyKUL8
Creating a match 3 game	Game Instance is permanent throughout the whole game from start to finish	https://www.youtube.com/watch?v=bMKtfwh_Js4
Umg inventory drag and drop part 1	Drag and drop	https://www.youtube.com/watch?v=wyC5vl64V9k
Umg inventory drag and drop part 2	Flip flop,   like a ninja	https://www.youtube.com/watch?v=hgyJWHZTKfI
Umg inventory drag and drop part 3	More drag and drop	https://www.youtube.com/watch?v=uUT7Oaj8_tc
Creating a match 3 game part 2	select float based on boolean , gate	https://www.youtube.com/watch?v=RXzg6MFXl6s
Creating a match 3 game part 3	UCLASS adds class to engine for garbage collection e.t.c.,  UGENERATE_BODY adds things like Super::,   TSubClassOf for classes in c++ or blueprint generated classes	https://www.youtube.com/watch?v=AomqwJy57vs
controlling effects with blueprint	Map range clamped	https://www.youtube.com/watch?v=CGCKmSUjFlA
Physics based simulation and effects	How to setup collisions, FAT or PAT for skeletal meshes.   Talked about physics too like physics and animation blending.  Also there's a lot of default ue4 levels to load for showcasing effects	https://www.youtube.com/watch?v=-lFKZRX1K_0
Game ready AI part 1	Clamp all the things,   tasks, blackboard, EQS,  blackboard is potentially slow,   They talked about how to stop a character from rotating instantly	https://www.youtube.com/watch?v=PgxuaTSkyu4
Game ready AI part 2	More about AI and then using interfaces	https://www.youtube.com/watch?v=cZqIidnnK5A
Game frameworks	Went over game instance and save and load	https://www.youtube.com/watch?v=0LG4hiisflg
Game AI part 3	Video was about adding an array of values so they can iterate over it in the AI to see if something is more desirable over something else	https://www.youtube.com/watch?v=KwobTALHGHI
Game ready AI part 4	Using an enum as key would be better than an integer as key. Maybe enum didn't exist back in ue 10.  Edit from future: In Part 9 they go over this topic and says Map doesn't exist in blueprints at that time.	https://www.youtube.com/watch?v=b6it1NEOsQ8
Game ready ai part 5	perception for the ai and you can use console to remove debug output somehow :)	https://www.youtube.com/watch?v=UGIJ3g7VMho
Creating Interactions in VR with Motion Controllers 1	Merge actors for performance,  keep UV in 0-1 space,  recalibrate motion controllers possibly	https://www.youtube.com/watch?v=eRNtgFo6iU0
Creating Interactions in VR with Motion Controllers 2	Switches in material can be good but don't overuse it as it creates more shaders, can be easier than having many materials.	https://www.youtube.com/watch?v=utOahIZgKgc
Game ready AI part 6	Apple spawning trees!  Or "StamSpawners" as Ian calls em.	https://www.youtube.com/watch?v=BbowoQiq2fY
Game ready AI part 7 	Sound!  	https://www.youtube.com/watch?v=_cJBlme77QM
Game ready AI part 8	Commenting code and changing from array of floats and ints to an array with a struct for stats	https://www.youtube.com/watch?v=QoygDWmnc08
Creating interactions in VR with motion controllers 3	new VIVE controllers ( 2016 ) ^^   Overlap events with 3D widgets since they are a 3D object	https://www.youtube.com/watch?v=utOahIZgKgc
Blueprint creating a 2D game 03	Added climbing and level selection like Mario games on SNES	https://www.youtube.com/watch?v=XJLJzqcrcOE
Game ready AI part 9	Added animations, could have used play animation in blackboard but wanted a more generic use case. Also great animation choice! Character falling on its back when it eats an apple.	https://www.youtube.com/watch?v=EsBAOZ9IF_4
VR cameras multiplayer, trips and tricks	Ctrl shift . to open profiler,   profile often if doing VR development,  profile often otherwise too just not as often!  Try to leave temporal AA on if you can for VR and optimize other areas first.	https://www.youtube.com/watch?v=jVdFpuicptQ
C++ tanks vs zombies	Use reimport for assets instead of delete and re-create,  There's a viewport settings in top-left of viewport :O	https://www.youtube.com/watch?v=NyXq0Hy9xQs
Blueprint communication	Interfaces doesn't have to be implemented if the function is called nothing happens, introduces streaming levels, Try not to use bind in umg because it happens every frame instead try and bind more performant .	https://www.youtube.com/watch?v=EM_HYqQdToE
Game ready AI part 10	Moved some AI stuff to c++ and EQS,   From QA: If many AI actors try and use C++ for performance,  if MoveTo doesn't move the actor for a period of time it will fail the MoveTo,  can handle that in blueprint by using a task to check MoveTo result	https://www.youtube.com/watch?v=in6usW3aBko
Blueprint mobile leaderboard, achievements and ads	As title says it's about ads for ios and android, bit of a learning curve setting everything up first time	https://www.youtube.com/watch?v=nJG5qJpCCxU
Custom materials how to use and create metaballs	1) It said meTAballs not meATballs! 2) Custom material is to write HLSL code directly but better not to 99.9% of the time. If doing it then edit consolevariables.ini to get better debug info, Also recommended for good articles: http://www.iquilezles.org/	https://www.youtube.com/watch?v=HaUAfgrZjlU
c++ tanks vs zombies part 2	C++ stuff and then custom rotation and movement code for tank	https://www.youtube.com/watch?v=eY3SKbVkO2Y
Exploring Sequencer | Future highlight	On working with Sequencer live training episode they mentioned a previous stream which was this one where they introduced sequencer!	https://www.youtube.com/watch?v=CGo-sK-wvzw
VR highlights 4.11	A bit about HMD camera and some optimizations and a rendering mode rendering to both cameras at once	https://www.youtube.com/watch?v=lbRHv9Bxybo
game ready ai part 11	Refactored off stream, showed off detour component to make ai not run into each others	https://www.youtube.com/watch?v=-tosvDVxSZg
blueprint creating a 2D game 04	Improved ladder climbing, hit flicker tied to animation, different weapons and a weapon attached to socket	https://www.youtube.com/watch?v=axuwbkDWI5U
MOBA minions AI part 1	the dragon head default sprite is from 1995 or something! 3 lanes with many waypoints,  to simulate fores between lanes Ian would use a heavily increased pathing cost	https://www.youtube.com/watch?v=eND5XlHvX0o
Blueprint making a 3D puzzle game	seems like a fun puzzle to do as a project! Spin a cube and click buttons to turn nearby lights on/off	https://www.youtube.com/watch?v=d7JKfbk699Q
C++ tanks vs zombies part 3	pew pew smoke clouds,  include in cpp files for shorter compile times, will have to look into more! GetSocketLocation returns component location if no socket found	https://www.youtube.com/watch?v=YSI-d_DNj18
Mastering material instances	talks briefly about best practices with material instances. For example use thumbnails to show what the material instance uses as textures, base color, roughness e.t.c. Never make one massive master material.          Very time consuming to update.          Slow         Takes long to compile         Hard to use translucent and not translucent material   Test test and test again!	https://www.youtube.com/watch?v=edZo8PC5SYc
MOBA minions AI part 2	spawn AI mobs on the lanes, perception component is fast!	https://www.youtube.com/watch?v=XYSXb6rq26s
New Sequencer features	hold ctrl to add item to scene, hold shift to add item as spawnable to Sequencer ( not added to level ), cinematic camera has many more film settings than normal camera	https://www.youtube.com/watch?v=vHeRBCNVBok
C++ tanks vs zombies part 4	learned more about the compiler optimizations! braaaaaains,  zombies that walk until they see tank and then runs	https://www.youtube.com/watch?v=vi3ZRD5VcgI
Mesh Displacement and Material Editor	talks about spaces, tangent, object and world space vertex displacement is per vertex world displacement is per pixel wobbly beams!  skeletal displacement doesn't work with world displacement because skeletal is on cpu, world displacement is on gpu 	https://www.youtube.com/watch?v=oPLQOViA8CA
MOBA minion AI part 3	Does ILivable apply to vampires? Draw debug pathing macro to visualize the AI path! project settings -> crowd manager -> max agent radius   if changing an agents avoidance	https://www.youtube.com/watch?v=XB_sRVqiLV4
VR Bow and Arrow	remember to set left and right inside the motion controller! VR bow seems fun!	https://www.youtube.com/watch?v=hcbSzvSAK-0
Get a load of this: how to make a loading screen	none-seamless loading with loading screen from room A -> B, level sequence instead of loading screen too, Widget animations!	https://www.youtube.com/watch?v=6CkR6KG2znM
C++ Plugin based state machine part 1	Use create c++ class menu option also for plugin development!  turing machines, dfa, nfa? Questing system for the state machine, with knights	https://www.youtube.com/watch?v=hr9ybCCPw9Y
